"","height","weight","bat","throw","field","average"
"1",74,218,"R","L","0",3.33
"2",75,185,"R","R","1",0.286
"3",77,219,"L","L","0",3.04
"4",73,185,"R","R","1",0.271
"5",69,160,"S","R","1",0.242
"6",73,222,"R","R","0",3.92
"7",78,225,"R","R","0",3.46
"8",76,205,"R","R","0",3.42
"9",77,230,"L","R","1",0.303
"10",78,225,"R","R","0",3.46
"11",76,190,"R","R","0",3.75
"12",72,180,"S","R","1",0.236
"13",73,185,"R","R","1",0.245
"14",73,200,"L","L","0",4.8
"15",74,195,"R","R","1",0.276
"16",75,195,"R","R","0",3.66
"17",72,185,"L","L","1",0.3
"18",75,190,"R","R","1",0.239
"19",76,200,"R","R","0",3.38
"20",76,180,"L","L","0",3.29
"21",72,175,"L","L","1",0.29
"22",76,195,"L","L","0",4.99
"23",68,175,"L","R","1",0.283
"24",73,185,"R","R","1",0.271
"25",69,160,"R","R","1",0.225
"26",76,211,"S","R","1",0.282
"27",77,190,"S","R","1",0.212
"28",74,195,"R","R","1",0.262
"29",75,200,"R","R","0",3.94
"30",73,207,"S","R","1",0.251
"31",79,232,"L","L","0",3.1
"32",72,190,"R","R","1",0.238
"33",75,200,"L","R","0",3.18
"34",70,175,"L","R","1",0.279
"35",75,200,"R","R","1",0.274
"36",78,220,"R","R","0",3.88
"37",73,195,"R","R","0",4.57
"38",75,205,"L","L","1",0.284
"39",74,185,"R","R","1",0.286
"40",71,185,"S","R","1",0.218
"41",73,210,"R","R","1",0.282
"42",76,210,"L","L","0",3.28
"43",73,195,"R","R","1",0.243
"44",75,205,"R","R","0",3.7
"45",73,175,"R","L","0",4.65
"46",73,190,"L","L","1",0.238
"47",74,185,"S","L","0",4.07
"48",72,190,"S","R","1",0.254
"49",73,210,"R","R","0",3.29
"50",71,195,"R","R","1",0.244
"51",71,166,"R","R","1",0.274
"52",71,185,"R","L","0",3.73
"53",73,160,"R","R","0",4.76
"54",74,170,"L","L","1",0.271
"55",76,185,"R","R","0",2.84
"56",71,155,"S","R","1",0.251
"57",76,190,"R","R","0",3.28
"58",71,160,"S","R","1",0.27
"59",70,155,"S","R","1",0.261
